?q=activity|activity|noun|A1|a thing that you do for interest or pleasure|/ækˈtɪvəti/|/ækˈtɪvəti/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activity__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/activ/activity__us_4.mp3|<li class="" htag="li"><span class="x">leisure/outdoor/recreational activities</span></li>;<li class="" htag="li"><span class="x">The club provides a wide variety of activities including tennis, swimming and squash.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=activity
?q=actually|actually|adverb|A2|used in speaking to emphasize a fact or a comment, or that something is really true|/ˈæktʃuəli/|/ˈæktʃuəli/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/actua/actually__gb_5.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/actua/actually__us_1_rr.mp3|<li class="" htag="li"><span class="x">What did she actually say?</span></li>;<li class="" htag="li"><span class="x">It's not actually raining now.</span></li>;<li class="" htag="li"><span class="x">The book was never actually published. </span></li>;<li class="" htag="li"><span class="x">I'm glad we were actually able to get the message across.</span></li>;<li class="" htag="li"><span class="x">That's the only reason I'm actually going.</span></li>;<li class="" htag="li"><span class="x">There are lots of people there who can actually help you.</span></li>;<li class="" htag="li"><span class="x">I didn't want to say anything without actually reading the letter first.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=actually
?q=add|add|verb|A1|to put something together with something else so as to increase the size, number, amount, etc.|/æd/|/æd/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/add__/add__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/add/add__/add__us_2.mp3|<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">add something</span> <span class="x">Next add the flour.</span></li>;<li class="" htag="li"><span class="x">The juice contains no added sugar.</span></li>;<li class="" htag="li"><span class="x">As an <span class="cl">added bonus</span>, the book includes many black-and-white photographs.</span></li>;<li class="" htag="li"><span class="x">Melt the butter, then add the onion.</span></li>;<li class="" htag="li"><span class="x">The plan has the added <span class="gloss" hclass="gloss" htag="span">(= extra)</span> advantage of bringing employment to rural areas.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">add something to something</span> <span class="x">Shall I add your name to the list?</span></li>;<li class="" htag="li"><span class="x">They are looking at ways to <span class="cl">add</span> further <span class="cl">value</span> to their products.</span></li>;<li class="" htag="li"><span class="x">There are a number of ways to <span class="cl">add emphasis</span> to words on a web page. </span></li>;<li class="" htag="li"><span class="x">A new wing was added to the building.</span></li>;<li class="" htag="li"><span class="x">Chlorine is added to the water to kill bacteria.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=add
?q=address|address|noun|A1|details of where somebody lives or works and where letters, etc. can be sent|/əˈdres/|/əˈdres/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addre/address__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/add/addre/address__us_2_rr.mp3|<li class="" htag="li"><span class="x">What's your <span class="cl">name and address</span>?</span></li>;<li class="" htag="li"><span class="x">I'll give you my address and phone number.</span></li>;<li class="" htag="li"><span class="x">Is that your <span class="cl">home address</span>?</span></li>;<li class="" htag="li"><span class="x">Please note my <span class="cl">change of address</span>.</span></li>;<li class="" htag="li"><span class="x">There was no <span class="cl">return address</span> on the envelope.</span></li>;<li class="" htag="li"> <span class="labels" hclass="labels" htag="span">(especially North American English)</span> <span class="x">Each entry must include a valid <span class="cl">mailing address</span>.</span></li>;<li class="" htag="li"> <span class="labels" hclass="labels" htag="span">(British English usually)</span> <span class="x">a <span class="cl">postal address</span></span></li>;<li class="" htag="li"><span class="x">Police found him at an address <span class="gloss" hclass="gloss" htag="span">(= a house or flat)</span> in West London.</span></li>;<li class="" htag="li"><span class="x">people with no fixed address <span class="gloss" hclass="gloss" htag="span">(= with no permanent home)</span></span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=address
?q=administration|administration|noun|B2|the activities that are done in order to plan, organize and run a business, school or other institution|/ədˌmɪnɪˈstreɪʃn/|/ədˌmɪnɪˈstreɪʃn/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administration__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admin/administration__us_1.mp3|<li class="" htag="li"><span class="x">Administration costs are passed on to the customer.</span></li>;<li class="" htag="li"><span class="x">the day-to-day administration of a company</span></li>;<li class="" htag="li"><span class="x">I work in the Sales Administration department.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=administration
?q=admit|admit|verb|B1|to agree, often unwillingly, that something is true|/ədˈmɪt/|/ədˈmɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admit/admit__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adm/admit/admit__us_2.mp3|<li class="" htag="li"><span class="x">It was a stupid thing to do, I admit.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">+ speech</span> <span class="x">‘I'm very nervous,’ she admitted reluctantly.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">admit to something</span> <span class="x">Don't be afraid to admit to your mistakes.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">admit to doing something</span> <span class="x">She admits to being strict with her children.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">admit something</span> <span class="x">He <span class="cl">admitted</span> all his <span class="cl">mistakes</span>.</span></li>;<li class="" htag="li"><span class="x">She stubbornly refuses to admit the truth.</span></li>;<li class="" htag="li"><span class="x">Why don't you just <span class="cl">admit defeat</span> <span class="gloss" hclass="gloss" htag="span">(= recognize that you cannot do something)</span> and let someone else try?</span></li>;<li class="" htag="li"><span class="x"><span class="cl">I hate to admit it</span>, but I think he is right.</span></li>;<li class="" htag="li"><span class="x">Admit it! You were terrified!</span></li>;<li class="" htag="li"><span class="x">I'm almost ashamed to admit it, but I watch this show.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">admit (that)…</span> <span class="x">They <span class="cl">freely admit</span> (that) they still have a lot to learn.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">You must admit that</span> it all sounds very strange.</span></li>;<li class="" htag="li"><span class="x">She <span class="cl">readily admits</span> mistakes were made.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">admit to somebody that…</span> <span class="x">I couldn't admit to my parents that I was finding the course difficult.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">be admitted that…</span> <span class="x">It was generally admitted that the government had acted too quickly.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">be admitted to be/have something</span> <span class="x">The appointment is now generally admitted to have been a mistake.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=admit
?q=adult|adult|noun|A1|a fully grown person who is legally responsible for their actions|/ˈædʌlt/|/əˈdʌlt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/adu/adult/adult__us_2_rr.mp3|<li class="" htag="li"><span class="x">Children must be accompanied by an adult.</span></li>;<li class="" htag="li"><span class="x">I simply can't believe that responsible adults allowed a child to wander the streets.</span></li>;<li class="" htag="li"><span class="x">Why can't you two act like civilized adults?</span></li>;<li class="" htag="li"><span class="x">The obesity rate among adults has actually increased.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=adult
?q=affect|affect|verb|A2|to produce a change in somebody/something|/əˈfekt/|/əˈfekt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affec/affect__gb_3.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aff/affec/affect__us_1.mp3|<li class="" htag="li"><span class="x">How will these changes affect us?</span></li>;<li class="" htag="li"><span class="x">The article deals with issues <span class="cl">affecting the lives</span> of children.</span></li>;<li class="" htag="li"><span class="x">Thousands of people have been <span class="cl">adversely affected </span><span class="gloss" hclass="gloss" htag="span">(= affected in a negative way)</span> by the decision.</span></li>;<li class="" htag="li"><span class="x">The quality and health of the soil <span class="cl">directly affects</span> the quality and health of the plants.</span></li>;<li class="" htag="li"><span class="x">Your opinion will not affect my decision.</span></li>;<li class="" htag="li"><span class="x">The south of the country was worst affected by the drought.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=affect
?q=after|after|preposition|A1|later than something; following something in time|/ˈɑːftə(r)/|/ˈæftər/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aft/after/after__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aft/after/after__us_2.mp3|<li class="" htag="li"><span class="x">We'll leave after lunch.</span></li>;<li class="" htag="li"><span class="x">They arrived <span class="cl">shortly after</span> 5.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">Not long after that</span> he resigned.</span></li>;<li class="" htag="li"><span class="x">Let’s meet <span class="cl">the day after tomorrow/the week after next</span>.</span></li>;<li class="" htag="li"><span class="x">After winning the prize she became famous overnight.</span></li>;<li class="" htag="li"><span class="x">After an hour I went home <span class="gloss" hclass="gloss" htag="span">(= when an hour had passed)</span>.</span></li>;<li class="" htag="li"> <span class="labels" hclass="labels" htag="span">(North American English)</span> <span class="x">It’s ten after seven in the morning <span class="gloss" hclass="gloss" htag="span">(= 7.10 a.m.)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=after
?q=again|again|adverb|A1|one more time; on another occasion|/əˈɡen/|/əˈɡen/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aga/again/again__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aga/again/again__us_1.mp3|<li class="" htag="li"><span class="x">This must never <span class="cl">happen again</span>.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">Try again</span>—it takes practice.</span></li>;<li class="" htag="li"><span class="x">Can we <span class="cl">start again</span>, please?</span></li>;<li class="" htag="li"><span class="x">Could you say it again, please?</span></li>;<li class="" htag="li"><span class="x">When will I see you again?</span></li>;<li class="" htag="li"><span class="x">Rowling again proves to be a superb storyteller.</span></li>;<li class="" htag="li"><span class="x">I've told you <span class="cl">again and again</span> <span class="gloss" hclass="gloss" htag="span">(= many times)</span> not to do that.</span></li>;<li class="" htag="li"><span class="x">I'll have to write it <span class="cl">all over again</span> <span class="gloss" hclass="gloss" htag="span">(= again from the beginning)</span>.</span></li>;<li class="" htag="li"><span class="x">She tried <span class="cl">over and over again</span> <span class="gloss" hclass="gloss" htag="span">(= many times)</span> to get it right.</span></li>;<li class="" htag="li"><span class="x">He has <span class="cl">yet again</span> <span class="gloss" hclass="gloss" htag="span">(= as has happened many times before)</span> shown that he cannot be trusted.</span></li>;<li class="" htag="li"><span class="x"><span class="cl">Once again</span> <span class="gloss" hclass="gloss" htag="span">(= as had happened several times before)</span>, the train was late.</span></li>|https://www.oxfordlearnersdictionaries.com/search/english/?q=again
